회사이름,공고이름,url,경력,지역,직무,사이트
네오위즈,[네오위즈] ai 연구원 - 비전 관련 생성모델 (전문연구요원),https://www.jobkorea.co.kr/Recruit/GI_Read/46011613?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=116,경력3년↑,경기,AI 개발자,jobkorea
파인트리파트너스,함께 성장할 생성형 ai 엔지니어를 모집합니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/46083628?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=117,신입·경력3년↑,서울,AI 개발자,jobkorea
가치소프트,sw 개발자 모집 - 2d/3d vision sw 및 ai sw 개발 프로그래머,https://www.jobkorea.co.kr/Recruit/GI_Read/45745828?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=118,경력무관,세종,AI 개발자,jobkorea
엔에이치엔,[nhn] game ai 연구 및 서비스 개발,https://www.jobkorea.co.kr/Recruit/GI_Read/45962395?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=119,경력4년↑,경기,AI 개발자,jobkorea
이에스피시스템즈,ai agent 기획 및 서비스 개발자 구합니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/46047529?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=120,경력,서울,AI 개발자,jobkorea
로아,인공지능 모델 개발 신입사원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/46072844?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=122,신입,부산,AI 개발자,jobkorea
리플에이아이,[rippleai] 서울대 컴퓨터공학부 교수님과 함께할 ai연구원(비전/nlp) 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/46042588?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=123,경력무관,서울,AI 개발자,jobkorea
RGAInc.,"로봇 개발(기구설계, slam, ai, 소프트웨어플랫폼 등) 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/46032905?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=125,경력무관,서울,AI 개발자,jobkorea
유토시스,(주)유토시스 머신비젼 ai센터/r&d 연구소 공개 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45952321?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=126,경력무관,경기,AI 개발자,jobkorea
인딥에이아이,ai채용솔루션 프롬프트엔지니어 우수인재 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/46052466?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=127,경력2년↑,서울,AI 개발자,jobkorea
에너자이,에너자이 ai 최적화 researcher 채용 공고 (전문연구요원 가능),https://www.jobkorea.co.kr/Recruit/GI_Read/45924548?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=131,경력무관,서울,AI 개발자,jobkorea
디트릭스,ai 개발 지식과 경험이 풍부한 경력 3년 이상의 개발자를 모십니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/45913165?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=132,경력3년↑,경기,AI 개발자,jobkorea
탐시스텍,"ai, 비전 검사 및 검사 자동화 시스템 관련 응용프로그램 개발자(c#필수)",https://www.jobkorea.co.kr/Recruit/GI_Read/45973321?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=133,경력3년↑,경기,AI 개발자,jobkorea
RGAInc.,로봇 ai 음성(책임/선임급) 개발 연구원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46074758?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=134,경력무관,서울,AI 개발자,jobkorea
퀘이자,[ai위조품분석솔루션]퀘이자 r&d개발 연구 인력 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45982540?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=135,경력,인천,AI 개발자,jobkorea
몬드리안에이아이,ai 연구소장(5년 이상),https://www.jobkorea.co.kr/Recruit/GI_Read/46081602?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=136,경력5년↑,인천,AI 개발자,jobkorea
바이트사이즈,머신비전 및 인공지능 관련 연구 개발,https://www.jobkorea.co.kr/Recruit/GI_Read/46066038?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=140,경력5년↑,부산,AI 개발자,jobkorea
