회사이름: 기어세컨드, 공고이름: [기어세컨드] 데이터 분석가, url: https://www.gamejob.co.kr/List_GI/GIB_Read.asp?GI_No=253524, 경력: 신입·경력, 지역: 서울, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 베이글코드, 공고이름: [cvs] 데이터 분석가 (business analyst), url: https://www.gamejob.co.kr/List_GI/GIB_Read.asp?GI_No=253112, 경력: 경력무관, 지역: 서울, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: EA코리아, 공고이름: [data and analytics] senior data analyst (데이터 분석가), url: https://www.gamejob.co.kr/List_GI/GIB_Read.asp?GI_No=253652, 경력: 경력5년↑, 지역: 서울, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 데브시스터즈, 공고이름: [쿠키런 모험의탑] 데이터 분석가 (2개월), url: https://www.gamejob.co.kr/List_GI/GIB_Read.asp?GI_No=254189, 경력: 경력무관, 지역: 서울, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 베이글코드, 공고이름: [cvs] 데이터 분석가 1년 인턴 (business analyst intern), url: https://www.gamejob.co.kr/List_GI/GIB_Read.asp?GI_No=253109, 경력: 경력무관, 지역: 서울, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 스프링컴즈, 공고이름: [스프링컴즈] 모바일게임 데이터 분석가 채용(신입/경력), url: https://www.gamejob.co.kr/List_GI/GIB_Read.asp?GI_No=253890, 경력: 신입·경력, 지역: 서울, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 데이터누리, 공고이름: 데이터 분석가, url: https://jumpit.saramin.co.kr/position/38408, 경력: 경력 5~10년, 지역: 서울, 직무: 데이터 분석가, 사이트: jumpit
회사이름: 콜로세움코퍼레이션, 공고이름: 데이터 분석가, url: https://jumpit.saramin.co.kr/position/38662, 경력: 경력 1~10년, 지역: 서울, 직무: 데이터 분석가, 사이트: jumpit
회사이름: 퍼플아카데미, 공고이름: 데이터 분석가 신입/경력 채용, url: https://jumpit.saramin.co.kr/position/38390, 경력: 신입~3년, 지역: 서울, 직무: 데이터 분석가, 사이트: jumpit
회사이름: 딜리버드코리아, 공고이름: [딜리버드코리아] 데이터 분석가 / 데이터 사이언티스트 모집, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49474375&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=3f275f6c-4892-49a6-85d8-99050681d86c, 경력: 경력, 지역: 서울, 직무: 데이터 분석가, 사이트: saramin
회사이름: 한국정보통계, 공고이름: [통계팀] 데이터 분석가(사회조사분석사), url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49345668&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=3f275f6c-4892-49a6-85d8-99050681d86c, 경력: 경력무관, 지역: 전북, 직무: 데이터 분석가, 사이트: saramin
회사이름: 스텝업파트너스주식회사, 공고이름: [글로벌 모바일게임 기업] 데이터 분석가, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49563207&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=3f275f6c-4892-49a6-85d8-99050681d86c, 경력: 경력 2~5년, 지역: 서울, 직무: 데이터 분석가, 사이트: saramin
회사이름: 엔엠에스컨설팅, 공고이름: crm/데이터 분석가 (대형 가전마트사), url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49551382&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=3f275f6c-4892-49a6-85d8-99050681d86c, 경력: 경력3년↑, 지역: 서울, 직무: 데이터 분석가, 사이트: saramin
회사이름: 데이터누리, 공고이름: [데이터누리] 데이터 분석가를 모십니다., url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49257728&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=3f275f6c-4892-49a6-85d8-99050681d86c, 경력: 경력5년↑, 지역: 서울, 직무: 데이터 분석가, 사이트: saramin
회사이름: 엠포스, 공고이름: [엠포스] 데이터 분석가 경력직 채용, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49539376&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=3f275f6c-4892-49a6-85d8-99050681d86c, 경력: 경력2년↑, 지역: 서울, 직무: 데이터 분석가, 사이트: saramin
회사이름: 괴산스마트유기농사업단, 공고이름: [데이터 엔지니어] 노지 스마트 농업 데이터 수집, 분석가 모집, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49468043&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=3f275f6c-4892-49a6-85d8-99050681d86c, 경력: 경력무관, 지역: 충북, 직무: 데이터 분석가, 사이트: saramin
회사이름: 투비파트너즈, 공고이름: 데이터 분석가, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49507319&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=3f275f6c-4892-49a6-85d8-99050681d86c, 경력: 경력 6~12년, 지역: 서울, 직무: 데이터 분석가, 사이트: saramin
회사이름: 트리노드, 공고이름: [서울/경력 2년 이상] 데이터분석팀 - 게임 데이터 분석가, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49347261&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=3f275f6c-4892-49a6-85d8-99050681d86c, 경력: 경력2년↑, 지역: 서울, 직무: 데이터 분석가, 사이트: saramin
회사이름: 콘센트릭스서비스코리아, 공고이름: 데이터 분석가 (사원급), url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49561941&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=3f275f6c-4892-49a6-85d8-99050681d86c, 경력: 경력2년↑, 지역: 서울, 직무: 데이터 분석가, 사이트: saramin
회사이름: 컬리, 공고이름: [컬리] bi팀 데이터 분석가 (data analyst), url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49351457&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=3f275f6c-4892-49a6-85d8-99050681d86c, 경력: 경력3년↑, 지역: 서울, 직무: 데이터 분석가, 사이트: saramin
회사이름: 온택트헬스, 공고이름: 데이터 분석가 채용, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49324570&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=3f275f6c-4892-49a6-85d8-99050681d86c, 경력: 경력무관, 지역: 서울, 직무: 데이터 분석가, 사이트: saramin
회사이름: 이다웰, 공고이름: 파이썬 활용가능 데이터 분석가 모집, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49501156&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=3f275f6c-4892-49a6-85d8-99050681d86c, 경력: 경력무관, 지역: 경기, 직무: 데이터 분석가, 사이트: saramin
회사이름: 다산팩주식회사, 공고이름: 데이터 분석팀 - 데이터 분석가 채용, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49423318&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=3f275f6c-4892-49a6-85d8-99050681d86c, 경력: 경력무관, 지역: 서울, 직무: 데이터 분석가, 사이트: saramin
