회사이름,공고이름,url,경력,지역,직무,사이트
베이글코드,[cvs] 데이터 분석가 1년 인턴 (business analyst intern),https://www.gamejob.co.kr/List_GI/GIB_Read.asp?GI_No=253109,경력무관,서울,데이터 분석가,jobkorea
스프링컴즈,[스프링컴즈] 모바일게임 데이터 분석가 채용(신입/경력),https://www.gamejob.co.kr/List_GI/GIB_Read.asp?GI_No=253890,신입·경력,서울,데이터 분석가,jobkorea
데이터누리,데이터 분석가,https://jumpit.saramin.co.kr/position/38408,경력 5~10년,서울,데이터 분석가,jumpit
콜로세움코퍼레이션,데이터 분석가,https://jumpit.saramin.co.kr/position/38662,경력 1~10년,서울,데이터 분석가,jumpit
퍼플아카데미,데이터 분석가 신입/경력 채용,https://jumpit.saramin.co.kr/position/38390,신입~3년,서울,데이터 분석가,jumpit
딜리버드코리아,[딜리버드코리아] 데이터 분석가 / 데이터 사이언티스트 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49474375&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=3f275f6c-4892-49a6-85d8-99050681d86c,경력,서울,데이터 분석가,saramin
한국정보통계,[통계팀] 데이터 분석가(사회조사분석사),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49345668&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=3f275f6c-4892-49a6-85d8-99050681d86c,경력무관,전북,데이터 분석가,saramin
스텝업파트너스주식회사,[글로벌 모바일게임 기업] 데이터 분석가,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49563207&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=3f275f6c-4892-49a6-85d8-99050681d86c,경력 2~5년,서울,데이터 분석가,saramin
엔엠에스컨설팅,crm/데이터 분석가 (대형 가전마트사),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49551382&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=3f275f6c-4892-49a6-85d8-99050681d86c,경력3년↑,서울,데이터 분석가,saramin
데이터누리,[데이터누리] 데이터 분석가를 모십니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49257728&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=3f275f6c-4892-49a6-85d8-99050681d86c,경력5년↑,서울,데이터 분석가,saramin
엠포스,[엠포스] 데이터 분석가 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49539376&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=3f275f6c-4892-49a6-85d8-99050681d86c,경력2년↑,서울,데이터 분석가,saramin
괴산스마트유기농사업단,"[데이터 엔지니어] 노지 스마트 농업 데이터 수집, 분석가 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49468043&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=3f275f6c-4892-49a6-85d8-99050681d86c,경력무관,충북,데이터 분석가,saramin
투비파트너즈,데이터 분석가,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49507319&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=3f275f6c-4892-49a6-85d8-99050681d86c,경력 6~12년,서울,데이터 분석가,saramin
트리노드,[서울/경력 2년 이상] 데이터분석팀 - 게임 데이터 분석가,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49347261&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=3f275f6c-4892-49a6-85d8-99050681d86c,경력2년↑,서울,데이터 분석가,saramin
콘센트릭스서비스코리아,데이터 분석가 (사원급),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49561941&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=3f275f6c-4892-49a6-85d8-99050681d86c,경력2년↑,서울,데이터 분석가,saramin
컬리,[컬리] bi팀 데이터 분석가 (data analyst),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49351457&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=3f275f6c-4892-49a6-85d8-99050681d86c,경력3년↑,서울,데이터 분석가,saramin
온택트헬스,데이터 분석가 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49324570&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=3f275f6c-4892-49a6-85d8-99050681d86c,경력무관,서울,데이터 분석가,saramin
이다웰,파이썬 활용가능 데이터 분석가 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49501156&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=3f275f6c-4892-49a6-85d8-99050681d86c,경력무관,경기,데이터 분석가,saramin
다산팩주식회사,데이터 분석팀 - 데이터 분석가 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49423318&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=3f275f6c-4892-49a6-85d8-99050681d86c,경력무관,서울,데이터 분석가,saramin
스케일업스쿼드,스타트업의 생태계를 바꿀 데이터 애널리스트/분석가 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49420222&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=3f275f6c-4892-49a6-85d8-99050681d86c,경력 2~5년,서울,데이터 분석가,saramin
기어세컨드,[기어세컨드] 데이터 분석가 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49444756&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=3f275f6c-4892-49a6-85d8-99050681d86c,경력무관,서울,데이터 분석가,saramin
서울특별시보라매병원,보라매병원 데이터사이언스센터 데이터 분석 담당 연구원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49521887&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=3f275f6c-4892-49a6-85d8-99050681d86c,경력무관,서울,데이터 분석가,saramin
네오위즈,[네오위즈] ai 연구원 - 데이터 분석 (전문연구요원),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49486275&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=3f275f6c-4892-49a6-85d8-99050681d86c,경력3년↑,경기,데이터 분석가,saramin
