company,title,url,loc,exp,job_name
디어유,account & community 개발 팀장급 채용,https://jumpit.saramin.co.kr/position/37050,서울,경력 10~15년,API 개발자
에스디바이오센서,모바일 app개발자(aos) 모집,https://jumpit.saramin.co.kr/position/39133,경기,경력 1~20년,API 개발자
에스디바이오센서,모바일 app개발자(ios) 모집,https://jumpit.saramin.co.kr/position/37411,경기,경력 3~20년,API 개발자
인피니티익스체인지코리아,블록체인 지갑 및 defi 서비스 개발자,https://jumpit.saramin.co.kr/position/39055,서울,경력 2~8년,API 개발자
엔엑스,[경력] 백엔드 개발자 (서울),https://jumpit.saramin.co.kr/position/37868,서울,경력 3~15년,API 개발자
테크랩스,웹 개발자(php) (브랜드엑셀러레이팅사업부),https://jumpit.saramin.co.kr/position/37778,서울,경력 5~10년,API 개발자
델레오코리아,[플랫폼개발팀] java senior 개발자,https://jumpit.saramin.co.kr/position/39344,서울,경력 8~20년,API 개발자
인피니티익스체인지코리아,백엔드 개발자 담당,https://jumpit.saramin.co.kr/position/39054,서울,경력 5~10년,API 개발자
셀키,백엔드 개발자,https://jumpit.saramin.co.kr/position/38646,서울,경력 4~10년,API 개발자
코보시스,서버 개발자,https://jumpit.saramin.co.kr/position/38643,서울,경력 3~15년,API 개발자
